time_step,control_input_1,control_input_2,gripper_state_1,gripper_state_2
0.0,127.5213918413557,,[0.],
0.01,27.294239576744797,,[0.00094531],
0.02,12.57454797623234,,[0.00265622],
0.03,51.012444838256236,,[0.00353086],
0.04,99.60372838404612,,[0.00533957],
0.05,152.9340643430631,,[0.00806817],
0.06,204.67210153161972,,[0.01189647],
0.07,244.81134737460812,,[0.01673833],
0.08,253.9673704069816,,[0.02253529],
0.09,234.7503619050459,,[0.02941843],
0.1,194.4401373465727,,[0.03720478],
0.11,150.82913593222105,,[0.04584641],
0.12,105.0304717930796,,[0.0543153],
0.13,61.691931808388894,,[0.06176462],
0.14,23.29809407428138,,[0.06824292],
0.15,1.6278497271005983,,[0.0737203],
0.16,4.7748953587364955,,[0.07822181],
0.17,25.255346020647053,,[0.08191117],
0.18,58.61029650430931,,[0.08493007],
0.19,101.58942602660001,,[0.08720865],
0.2,153.46648826806586,,[0.0905164],
0.21,203.1521852672238,,[0.09567899],
0.22,235.98692335062378,,[0.10210352],
0.23,253.9794887799715,,[0.10953266],
0.24,248.9583531173364,,[0.11770169],
0.25,221.47793807559435,,[0.12696305],
0.26,174.8675919275663,,[0.13705164],
0.27,111.51813295668065,,[0.14598693],
0.28,53.424454801414946,,[0.15376939],
0.29,11.405860991658745,,[0.16041757],
0.3,0.5334931292503395,,[0.16683007],
0.31,22.007533714832004,,[0.17243375],
0.32,72.3740372545126,,[0.17702561],
0.33,135.94492743935476,,[0.1805466],
0.34,202.62786207262107,,[0.18492175],
0.35000000000000003,249.7489158506432,,[0.19014588],
0.36,251.4402135912988,,[0.19634397],
0.37,215.51596601721832,,[0.2034314],
0.38,141.3822775043385,,[0.21134928],
0.39,67.62106799643773,,[0.21816812],
0.4,17.82362319761941,,[0.22387789],
0.41000000000000003,2.6673701978813673,,[0.22851713],
0.42,32.01522764151281,,[0.23207419],
0.43,89.00625893685951,,[0.2349162],
0.44,157.28073853467663,,[0.23692019],
0.45,216.2553170407975,,[0.23989164],
0.46,252.8122933269556,,[0.243793],
0.47000000000000003,245.33728103652646,,[0.24862644],
0.48,197.43093273256355,,[0.25436283],
0.49,131.64069410056,,[0.26095518],
0.5,57.38997561660138,,[0.26651771],
0.51,7.957563349205206,,[0.27105889],
0.52,2.0033196948981318,,[0.27459851],
0.53,36.127016893329056,,[0.27715298],
0.54,94.00560597964429,,[0.27877233],
0.55,167.8779749974644,,[0.27947483],
0.56,226.9893121649245,,[0.2813097],
0.5700000000000001,253.6234779833992,,[0.28413173],
0.58,242.35828984234158,,[0.28790836],
0.59,198.12193933815684,,[0.29259039],
0.6,136.37958836734018,,[0.29812605],
0.61,62.94819015183886,,[0.30256094],
0.62,24.263351650369756,,[0.30593115],
0.63,0.38759219077443424,,[0.30872615],
0.64,35.94551130711254,,[0.31071651],
0.65,95.46991075674944,,[0.31159328],
0.66,164.57069359225974,,[0.31172823],
0.67,224.24843471318763,,[0.31290496],
0.68,253.31754934753815,,[0.31507206],
0.6900000000000001,249.79201158173439,,[0.31818272],
0.7000000000000001,222.501109793871,,[0.32228252],
0.71,179.16128293211378,,[0.32730305],
0.72,128.89617174805505,,[0.33195282],
0.73,83.0932685287225,,[0.33551917],
0.74,32.47265329746737,,[0.3382279],
0.75,1.0581111275619393,,[0.34010974],
0.76,9.756222373157211,,[0.34111808],
0.77,50.99288619997137,,[0.34124168],
0.78,108.40917641676822,,[0.34049077],
0.79,159.9455023358818,,[0.34047456],
0.8,209.29937827346407,,[0.34145516],
0.81,244.96431518524466,,[0.34339963],
0.8200000000000001,254.643358388182,,[0.34628368],
0.8300000000000001,232.24036749423703,,[0.35016297],
0.84,171.15281405521142,,[0.35495882],
0.85,109.24617571545835,,[0.35880999],
0.86,39.180498839457755,,[0.36169449],
0.87,5.264981027092148,,[0.36359383],
0.88,10.825838344772917,,[0.364625],
0.89,59.63784202409424,,[0.36477367],
0.9,129.30392144048335,,[0.36400352],
0.91,203.75003003600523,,[0.36444528],
0.92,254.94158953860483,,[0.36594293],
0.93,198.2373479009664,,[0.36844041],
0.9400000000000001,73.93109249586036,,[0.37190379],
0.9500000000000001,31.364225134570447,,[0.37436311],
0.96,238.68291894563905,,[0.37583348],
0.97,114.7439533733058,,[0.37823785],
0.98,28.052269799138937,,[0.37962282],
0.99,239.7169975147042,,[0.38026066],
1.0,132.09080442773814,,[0.38189062],
1.01,12.981321470239074,,[0.38263624],
1.02,227.98313945498856,,[0.38242944],
1.03,136.95262503221664,,[0.38318544],
1.04,11.375874293073927,,[0.38411944],
1.05,225.73391736411577,,[0.38437108],
1.06,161.2484585435133,,[0.38566742],
1.07,2.9680342886247497,,[0.38794478],
1.08,210.5351431043194,,[0.38930857],
1.09,158.65965652622688,,[0.39162049],
1.1,1.8717492160601348,,[0.39371799],
1.11,206.76556295037625,,[0.39456347],
1.12,164.89530369882945,,[0.39550137],
1.1300000000000001,6.7843267371919325,,[0.39647479],
1.1400000000000001,241.30750180916013,,[0.39673535],
1.1500000000000001,108.64847776387245,,[0.39749092],
1.16,35.79755641970414,,[0.39767318],
1.17,254.02517642968206,,[0.39739239],
1.18,61.8372587095966,,[0.39765695],
1.19,63.49896310478351,,[0.397349],
1.2,254.1993603938484,,[0.39655214],
1.21,56.56255493897293,,[0.39623015],
1.22,55.856309917534944,,[0.39533087],
1.23,253.71825135603618,,[0.39421617],
1.24,79.53984114846094,,[0.39348558],
1.25,40.9198944030052,,[0.39203166],
1.26,251.48783118140472,,[0.38987955],
